t[sec];q1[m3/sec];h1[m];h2[m];q2_measurement[m3/sec]
65,5;0,01;0,323619947;0,034381881;0,019631233
65,75;0,01;0,321321733;0,034188675;0,01823073
66;0,01;0,319062988;0,033983305;0,017426988
66,25;0,01;0,316842744;0,033766837;0,019350503
66,5;0,01;0,314660071;0,033540273;0,017409736
66,75;0,01;0,312514075;0,033304559;0,018004803
67;0,01;0,310403896;0,033060585;0,019811274
67,25;0,01;0,308328709;0,032809189;0,017761488
67,5;0,01;0,306287718;0,032551158;0,019759447
67,75;0,01;0,304280158;0,032287234;0,017112292
68;0,01;0,30230529;0,032018114;0,018864971
68,25;0,01;0,300362406;0,031744455;0,018818013
68,5;0,01;0,298450819;0,031466873;0,019000436
68,75;0,01;0,29656987;0,031185945;0,016859906
69;0,01;0,294718922;0,030902216;0,017216756
69,25;0,01;0,292897358;0,030616194;0,01993683
69,5;0,01;0,291104586;0,030328357;0,017543659
69,75;0,01;0,289340032;0,030039152;0,016937018
70;0,01;0,287603141;0,029748998;0,017091758
70,25;0,01;0,285893375;0,029458286;0,017425634
70,5;0,01;0,284210218;0,029167381;0,018023372
70,75;0,01;0,282553164;0,028876624;0,017624388
71;0,01;0,280921729;0,028586332;0,017436292
71,25;0,01;0,279315441;0,028296801;0,01664289
71,5;0,01;0,277733841;0,028008305;0,016514899
71,75;0,01;0,276176487;0,027721098;0,016497205
72;0,01;0,274642949;0,027435417;0,017043804
72,25;0,01;0,273132807;0,027151479;0,016834549
72,5;0,01;0,271645658;0,026869486;0,017230524
72,75;0,01;0,270181104;0,026589621;0,01701425
73;0,01;0,268738764;0,026312054;0,017579372
73,25;0,01;0,267318263;0,026036941;0,015061476
73,5;0,01;0,265919238;0,025764424;0,017592443
73,75;0,01;0,264541336;0,025494631;0,01405644
74;0,01;0,26318421;0,025227678;0,014211738
74,25;0,01;0,261847525;0,024963671;0,013675225
74,5;0,01;0,260530953;0,024702703;0,015920007
74,75;0,01;0,259234173;0,024444859;0,015526848
75;0,01;0,257956873;0,024190213;0,016563304
75,25;0,01;0,256698748;0,02393883;0,014292968
75,5;0,01;0,2554595;0,023690766;0,016513174
75,75;0,01;0,254238836;0,02344607;0,014932314
76;0,01;0,253036472;0,023204783;0,016263399
76,25;0,01;0,251852128;0,022966938;0,013691639
76,5;0,01;0,25068553;0,022732562;0,01489797
76,75;0,01;0,249536412;0,022501676;0,016699547
77;0,01;0,248404511;0,022274296;0,013899948
77,25;0,01;0,247289569;0,022050429;0,015395706
77,5;0,01;0,246191336;0,021830081;0,014448897
77,75;0,01;0,245109562;0,021613251;0,015410548
78;0,01;0,244044006;0,021399934;0,014429587
78,25;0,01;0,24299443;0,021190122;0,014970488
78,5;0,01;0,241960599;0,0209838;0,013567808
78,75;0,01;0,240942284;0,020780953;0,01394594
79;0,01;0,239939259;0,020581562;0,012854607
79,25;0,01;0,238951302;0,020385603;0,017076673
79,5;0,01;0,237978195;0,02019305;0,01353782
79,75;0,01;0,237019724;0,020003877;0,0136628
80;0,01;0,236075677;0,019818053;0,013491903
80,25;0,01;0,235145846;0,019635546;0,016357839
80,5;0,01;0,234230028;0,01945632;0,015773666
80,75;0,01;0,233328021;0,019280341;0,014544659
81;0,01;0,232439627;0,019107571;0,014980454
81,25;0,01;0,231564651;0,01893797;0,012600796
81,5;0,01;0,230702901;0,018771499;0,012999458
81,75;0,01;0,229854187;0,018608117;0,013334949
82;0,01;0,229018323;0,018447782;0,012715379
82,25;0,01;0,228195126;0,01829045;0,0132416
82,5;0,01;0,227384413;0,018136078;0,015192073
82,75;0,01;0,226586007;0,017984622;0,013756484
83;0,01;0,225799731;0,017836037;0,011821083
83,25;0,01;0,225025411;0,017690278;0,013725342
83,5;0,01;0,224262878;0,017547301;0,013477348
83,75;0,01;0,223511961;0,01740706;0,014925822
84;0,01;0,222772494;0,017269508;0,013609211
84,25;0,01;0,222044313;0,017134602;0,013285121
84,5;0,01;0,221327256;0,017002294;0,01475956
84,75;0,01;0,220621163;0,016872541;0,012389322
85;0,01;0,219925876;0,016745296;0,014061541
85,25;0,01;0,21924124;0,016620515;0,01149481
85,5;0,01;0,218567102;0,016498152;0,014036194
85,75;0,01;0,217903309;0,016378165;0,012382243
86;0,01;0,217249712;0,016260508;0,011974092
86,25;0,01;0,216606165;0,016145138;0,014131391
86,5;0,01;0,21597252;0,016032012;0,012074201
86,75;0,01;0,215348636;0,015921086;0,012126468
87;0,01;0,214734369;0,01581232;0,011928283
87,25;0,01;0,214129581;0,015705671;0,012127962
87,5;0,01;0,213534133;0,015601097;0,011957709
87,75;0,01;0,212947888;0,015498559;0,014189656
88;0,01;0,212370713;0,015398016;0,013485216
88,25;0,01;0,211802475;0,015299429;0,01234387
88,5;0,01;0,211243043;0,015202758;0,010902396
88,75;0,01;0,210692288;0,015107966;0,013312072
89;0,01;0,210150082;0,015015015;0,012928681
89,25;0,01;0,209616299;0,014923868;0,011380824
89,5;0,01;0,209090816;0,014834488;0,013844681
89,75;0,01;0,20857351;0,01474684;0,012929765
90;0,01;0,20806426;0,014660888;0,013533225
90,25;0,01;0,207562947;0,014576598;0,012020857
90,5;0,01;0,207069453;0,014493936;0,013492053
90,75;0,01;0,206583662;0,01441287;0,012215924
91;0,01;0,206105459;0,014333365;0,012490605
91,25;0,01;0,205634733;0,014255391;0,011287944
91,5;0,01;0,20517137;0,014178915;0,012714375
91,75;0,01;0,204715261;0,014103908;0,010575473
92;0,01;0,204266298;0,014030339;0,012047977
92,25;0,01;0,203824374;0,013958178;0,009768072
92,5;0,01;0,203389383;0,013887396;0,012094066
92,75;0,01;0,202961221;0,013817966;0,014017871
93;0,01;0,202539785;0,013749859;0,012307093
93,25;0,01;0,202124974;0,013683048;0,011600542
93,5;0,01;0,201716688;0,013617507;0,010933753
93,75;0,01;0,201314828;0,013553209;0,012224212
94;0,01;0,200919298;0,01349013;0,011508539
94,25;0,01;0,200530001;0,013428243;0,010925702
94,5;0,01;0,200146843;0,013367525;0,011654419
94,75;0,01;0,199769731;0,013307951;0,011873315
95;0,01;0,199398572;0,013249499;0,011731489
95,25;0,01;0,199033277;0,013192145;0,012609745
95,5;0,01;0,198673756;0,013135867;0,008401745
95,75;0,01;0,19831992;0,013080643;0,01166998
96;0,01;0,197971684;0,013026452;0,012260342
96,25;0,01;0,197628961;0,012973272;0,012487512
96,5;0,01;0,197291667;0,012921084;0,010519424
96,75;0,01;0,196959718;0,012869866;0,011980534
97;0,01;0,196633034;0,0128196;0,013112197
97,25;0,01;0,196311532;0,012770266;0,009674185
97,5;0,01;0,195995133;0,012721845;0,013516643
97,75;0,01;0,195683759;0,01267432;0,012431497
98;0,01;0,195377332;0,012627672;0,01131035
98,25;0,01;0,195075776;0,012581883;0,010397812
98,5;0,01;0,194779015;0,012536936;0,012524506
98,75;0,01;0,194486976;0,012492815;0,014124422
99;0,01;0,194199586;0,012449503;0,010805741
99,25;0,01;0,193916772;0,012406984;0,012579222
99,5;0,01;0,193638463;0,012365243;0,011477901
99,75;0,01;0,19336459;0,012324263;0,012081375
100;0,01;0,193095084;0,01228403;0,010302529
100,25;0,01;0,192829877;0,012244529;0,009625006
100,5;0,01;0,192568902;0,012205745;0,010500653
100,75;0,01;0,192312092;0,012167666;0,013333515
101;0,01;0,192059384;0,012130276;0,012271416
101,25;0,01;0,191810714;0,012093562;0,011208741
101,5;0,01;0,191566017;0,012057511;0,010349726
101,75;0,01;0,191325233;0,012022111;0,010672729
102;0,01;0,191088299;0,011987348;0,010432048
102,25;0,01;0,190855156;0,01195321;0,011145807
102,5;0,01;0,190625745;0,011919685;0,009267181
102,75;0,01;0,190400006;0,011886762;0,012282966
103;0,01;0,190177883;0,011854428;0,01255612
103,25;0,01;0,189959318;0,011822673;0,011454514
103,5;0,01;0,189744256;0,011791484;0,011258984
103,75;0,01;0,189532641;0,011760852;0,011569606
104;0,01;0,18932442;0,011730766;0,009370792
104,25;0,01;0,189119539;0,011701215;0,013270358
104,5;0,01;0,188917946;0,011672189;0,010381946
104,75;0,01;0,188719588;0,011643678;0,011438335
105;0,01;0,188524414;0,011615672;0,0109839
105,25;0,01;0,188332376;0,011588162;0,010618687
105,5;0,01;0,188143422;0,011561139;0,009334407
105,75;0,01;0,187957504;0,011534593;0,01082115
106;0,01;0,187774574;0,011508515;0,009696953
106,25;0,01;0,187594586;0,011482896;0,010928208
106,5;0,01;0,187417491;0,011457729;0,011050528
106,75;0,01;0,187243246;0,011433003;0,009164866
107;0,01;0,187071804;0,011408712;0,011722486
107,25;0,01;0,186903121;0,011384847;0,01185202
107,5;0,01;0,186737153;0,0113614;0,011139138
107,75;0,01;0,186573858;0,011338363;0,009741342
108;0,01;0,186413192;0,011315729;0,012485491
108,25;0,01;0,186255115;0,011293491;0,0115769
108,5;0,01;0,186099584;0,01127164;0,009796323
108,75;0,01;0,18594656;0,01125017;0,011163474
109;0,01;0,185796003;0,011229074;0,009485214
109,25;0,01;0,185647873;0,011208345;0,010425216
109,5;0,01;0,185502132;0,011187976;0,010412116
109,75;0,01;0,185358742;0,011167961;0,012450553
110;0,01;0,185217665;0,011148293;0,009661533
110,25;0,01;0,185078864;0,011128965;0,009822488
110,5;0,01;0,184942303;0,011109973;0,011646182
110,75;0,01;0,184807947;0,011091308;0,010240674
111;0,01;0,18467576;0,011072967;0,011710686
111,25;0,01;0,184545708;0,011054942;0,009976016
111,5;0,01;0,184417756;0,011037227;0,011197812
111,75;0,01;0,184291871;0,011019819;0,010640212
112;0,01;0,18416802;0,01100271;0,009965646
112,25;0,01;0,18404617;0,010985895;0,010339217
112,5;0,01;0,18392629;0,010969369;0,012762834
112,75;0,01;0,183808348;0,010953128;0,010092975
113;0,01;0,183692313;0,010937165;0,012770244
113,25;0,01;0,183578153;0,010921476;0,011375583
113,5;0,01;0,183465841;0,010906055;0,010413757
113,75;0,01;0,183355345;0,010890899;0,010473359
114;0,01;0,183246636;0,010876003;0,009447133
114,25;0,01;0,183139687;0,01086136;0,011633858
114,5;0,01;0,183034468;0,010846969;0,011158627
114,75;0,01;0,182930953;0,010832823;0,010979443
115;0,01;0,182829113;0,010818918;0,009077449
115,25;0,01;0,182728922;0,01080525;0,009229653
115,5;0,01;0,182630353;0,010791815;0,01104817
115,75;0,01;0,18253338;0,010778609;0,009205218
116;0,01;0,182437978;0,010765628;0,009669086
116,25;0,01;0,182344122;0,010752868;0,010069239
116,5;0,01;0,182251786;0,010740324;0,010855529
116,75;0,01;0,182160946;0,010727993;0,011341157
117;0,01;0,182071578;0,010715872;0,010003578
117,25;0,01;0,181983659;0,010703956;0,008989188
117,5;0,01;0,181897164;0,010692243;0,011538756
117,75;0,01;0,181812072;0,010680728;0,008695822
118;0,01;0,181728359;0,010669407;0,00919463
118,25;0,01;0,181646004;0,010658279;0,009134878
118,5;0,01;0,181564984;0,010647338;0,009208153
118,75;0,01;0,181485278;0,010636583;0,010153205
119;0,01;0,181406865;0,010626009;0,010432737
119,25;0,01;0,181329724;0,010615614;0,010547519
119,5;0,01;0,181253834;0,010605394;0,009903954
119,75;0,01;0,181179176;0,010595346;0,009191362
120;0,01;0,181105729;0,010585468;0,010629627
120,25;0,01;0,181033474;0,010575757;0,01033912
120,5;0,01;0,180962392;0,010566209;0,010020406
120,75;0,01;0,180892464;0,010556821;0,010011431
121;0,01;0,180823671;0,010547592;0,008085284
121,25;0,01;0,180755994;0,010538518;0,008617208
121,5;0,01;0,180689416;0,010529596;0,009966983
121,75;0,01;0,18062392;0,010520824;0,009454212
122;0,01;0,180559487;0,0105122;0,01147837
122,25;0,01;0,1804961;0,01050372;0,009781372
122,5;0,01;0,180433743;0,010495383;0,011278692
122,75;0,01;0,180372399;0,010487185;0,009234018
123;0,01;0,180312051;0,010479125;0,011095106
123,25;0,01;0,180252684;0,0104712;0,009852792
123,5;0,01;0,180194281;0,010463408;0,011102826
123,75;0,01;0,180136827;0,010455746;0,011239487
124;0,01;0,180080307;0,010448212;0,008630566
124,25;0,01;0,180024705;0,010440805;0,008724867
124,5;0,01;0,179970007;0,010433521;0,009226667
124,75;0,01;0,179916198;0,010426359;0,010348216
125;0,01;0,179863263;0,010419317;0,009740659
